#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Special,Speed,Legendary
111,Rhyhorn,Ground,Rock,345,77,76,93,38,22,False
12,Butterfree,Bug,Flying,395,62,52,53,82,63,False
119,Seaking,Water,,450,85,94,68,67,69,False
73,Tentacruel,Water,Poison,515,84,61,60,109,92,False
72,Tentacool,Water,Poison,335,45,34,30,78,70,False
131,Lapras,Water,Ice,535,122,95,73,90,64,False
1,Bulbasaur,Grass,Poison,318,55,45,59,51,57,False
14,Kakuna,Bug,Poison,205,54,17,49,28,29,False
41,Zubat,Poison,Flying,245,37,50,33,38,49,False
86,Seel,Water,,325,67,40,54,54,55,False
99,Kingler,Water,,475,46,125,130,48,79,False
56,Mankey,Fighting,,305,33,71,37,43,78,False
78,Rapidash,Fire,,500,62,99,63,83,110,False
33,Nidorino,Poison,,365,57,80,56,54,63,False
99,Kingler,Water,,475,52,126,115,46,90,False
25,Pikachu,Electric,,320,31,55,47,51,85,False
3,Venusaur,Grass,Poison,525,90,82,75,101,76,False
116,Horsea,Water,,295,36,43,72,50,44,False
27,Sandshrew,Ground,,300,44,69,97,26,37,False
44,Gloom,Grass,Poison,395,59,75,62,83,33,False
86,Seel,Water,,325,73,49,46,54,50,False
85,Dodrio,Normal,Flying,460,68,100,72,58,103,False
130,Gyarados,Water,Flying,540,96,134,79,78,74,False
35,Clefairy,Normal,,323,67,45,45,65,36,False
9,Blastoise,Water,,530,67,85,102,98,80,False
140,Kabuto,Rock,Water,355,37,76,81,47,67,False
11,Metapod,Bug,,205,52,18,59,26,23,False
134,Vaporeon,Water,,525,136,70,53,102,61,False
112,Rhydon,Ground,Rock,485,100,124,117,50,44,False
55,Golduck,Water,,500,90,82,76,85,82,False
10,Caterpie,Bug,,195,35,34,31,21,53,False
133,Eevee,Normal,,325,48,52,44,60,62,False
75,Graveler,Rock,Ground,390,46,85,118,51,39,False
121,Starmie,Water,Psychic,520,57,81,93,89,111,False
94,Gengar,Ghost,Poison,500,60,63,64,101,111,False
23,Ekans,Poison,,288,38,53,48,50,50,False
13,Weedle,Bug,Poison,195,37,37,26,20,54,False
81,Magnemite,Electric,,325,33,38,79,64,47,False
25,Pikachu,Electric,,320,38,56,40,45,96,False
138,Omanyte,Rock,Water,355,26,42,96,82,28,False
53,Persian,Normal,,440,54,73,53,71,118,False
89,Muk,Poison,,500,112,111,67,78,53,False
105,Marowak,Ground,,425,60,80,102,68,48,False
103,Exeggutor,Grass,Psychic,520,104,85,94,96,45,False
36,Clefable,Normal,,483,98,77,63,96,53,False
118,Goldeen,Water,,320,35,73,65,43,61,False
115,Kangaskhan,Normal,,490,108,96,72,56,101,False
17,Pidgeotto,Normal,Flying,349,54,70,54,48,75,False
145,Zapdos,Electric,Flying,580,86,105,81,104,101,True
38,Ninetales,Fire,,505,68,71,78,92,105,False
20,Raticate,Normal,,413,63,73,50,63,101,False
48,Venonat,Bug,Poison,305,67,57,46,50,36,False
17,Pidgeotto,Normal,Flying,349,65,55,52,56,65,False
5,Charmeleon,Fire,,405,54,67,63,68,85,False
44,Gloom,Grass,Poison,395,57,65,70,82,39,False
74,Geodude,Rock,Ground,300,45,86,93,26,24,False
8,Wartortle,Water,,405,63,64,73,76,52,False
16,Pidgey,Normal,Flying,251,43,33,39,37,62,False
18,Pidgeot,Normal,Flying,479,85,74,71,76,96,False
20,Raticate,Normal,,413,59,86,60,52,104,False
80,Slowbro,Water,Psychic,490,107,82,103,86,25,False
75,Graveler,Rock,Ground,390,60,97,124,40,30,False
74,Geodude,Rock,Ground,300,34,87,105,32,11,False
118,Goldeen,Water,,320,36,71,69,36,73,False
107,Hitmonchan,Fighting,,455,51,106,76,72,79,False
17,Pidgeotto,Normal,Flying,349,58,63,53,56,64,False
125,Electabuzz,Electric,,490,63,87,65,89,97,False
66,Machop,Fighting,,305,74,75,54,32,39,False
32,Nidoran♂,Poison,,273,42,61,34,44,49,False
144,Articuno,Ice,Flying,580,89,92,102,107,83,True
8,Wartortle,Water,,405,60,60,78,72,63,False
69,Bellsprout,Grass,Poison,300,52,72,34,54,35,False
98,Krabby,Water,,325,35,96,80,29,56,False
75,Graveler,Rock,Ground,390,53,101,110,50,27,False
82,Magneton,Electric,,465,54,66,100,92,62,False
86,Seel,Water,,325,67,43,40,62,51,False
146,Moltres,Fire,Flying,580,95,95,94,98,99,True
9,Blastoise,Water,,530,87,80,100,90,82,False
35,Clefairy,Normal,,323,60,43,51,66,36,False
35,Clefairy,Normal,,323,76,49,43,62,30,False
100,Voltorb,Electric,,330,35,29,52,58,97,False
132,Ditto,Normal,,288,55,44,37,52,47,False
22,Fearow,Normal,Flying,442,56,99,61,66,95,False
138,Omanyte,Rock,Water,355,28,30,106,80,30,False
129,Magikarp,Water,,200,19,10,64,10,87,False
30,Nidorina,Poison,,365,62,66,77,56,49,False
129,Magikarp,Water,,200,16,9,48,18,91,False
136,Flareon,Fire,,525,67,134,59,100,65,False
39,Jigglypuff,Normal,,270,114,45,21,32,26,False
111,Rhyhorn,Ground,Rock,345,85,91,86,28,26,False
77,Ponyta,Fire,,410,50,87,57,62,91,False
134,Vaporeon,Water,,525,129,64,61,104,62,False
20,Raticate,Normal,,413,48,82,61,62,97,False
79,Slowpoke,Water,Psychic,315,86,70,55,41,22,False
130,Gyarados,Water,Flying,540,91,123,78,86,76,False
1,Bulbasaur,Grass,Poison,318,55,65,47,52,46,False
91,Cloyster,Water,Ice,525,45,98,183,61,77,False
115,Kangaskhan,Normal,,490,113,87,86,61,82,False
147,Dratini,Dragon,,300,43,58,42,51,55,False
87,Dewgong,Water,Ice,475,84,76,81,82,70,False
32,Nidoran♂,Poison,,273,44,59,30,44,52,False
114,Tangela,Grass,,435,69,52,115,72,55,False
57,Primeape,Fighting,,455,66,109,50,66,97,False
8,Wartortle,Water,,405,57,67,89,70,52,False
79,Slowpoke,Water,Psychic,315,91,67,59,43,12,False
14,Kakuna,Bug,Poison,205,48,28,52,21,35,False
10,Caterpie,Bug,,195,50,27,43,18,38,False
66,Machop,Fighting,,305,71,79,51,32,39,False
110,Weezing,Poison,,490,62,94,125,72,64,False
84,Doduo,Normal,Flying,310,45,78,36,40,72,False
53,Persian,Normal,,440,60,72,64,61,122,False
137,Porygon,Normal,,395,60,67,66,79,44,False
17,Pidgeotto,Normal,Flying,349,61,67,53,50,67,False
102,Exeggcute,Grass,Psychic,325,55,47,78,54,37,False
133,Eevee,Normal,,325,47,52,61,56,53,False
42,Golbat,Poison,Flying,455,76,84,61,72,91,False
91,Cloyster,Water,Ice,525,46,104,169,66,75,False
65,Alakazam,Psychic,,500,60,51,40,112,126,False
97,Hypno,Psychic,,483,91,68,63,96,69,False
2,Ivysaur,Grass,Poison,405,64,52,61,80,68,False
84,Doduo,Normal,Flying,310,34,84,42,40,71,False
35,Clefairy,Normal,,323,74,39,47,66,30,False
86,Seel,Water,,325,73,42,48,58,46,False
19,Rattata,Normal,,253,29,57,32,36,62,False
53,Persian,Normal,,440,63,76,57,67,110,False
23,Ekans,Poison,,288,36,56,47,47,55,False
49,Venomoth,Bug,Poison,450,68,70,66,81,84,False
31,Nidoqueen,Poison,Ground,505,84,96,90,78,79,False
34,Nidoking,Poison,Ground,505,90,103,73,80,79,False
81,Magnemite,Electric,,325,25,38,71,72,46,False
72,Tentacool,Water,Poison,335,32,42,32,81,67,False
150,Mewtwo,Psychic,,680,98,111,101,123,124,True
130,Gyarados,Water,Flying,540,99,118,87,80,75,False
28,Sandslash,Ground,,450,71,99,120,51,58,False
55,Golduck,Water,,500,87,74,64,92,90,False
56,Mankey,Fighting,,305,46,88,28,38,66,False
47,Parasect,Bug,Grass,405,58,109,75,66,31,False
109,Koffing,Poison,,340,42,62,102,52,31,False
150,Mewtwo,Psychic,,680,107,102,92,122,136,True
7,Squirtle,Water,,314,42,55,59,58,41,False
96,Drowzee,Psychic,,328,62,41,49,66,45,False
66,Machop,Fighting,,305,76,73,47,38,33,False
35,Clefairy,Normal,,323,69,32,56,64,39,False
120,Staryu,Water,,340,30,44,61,60,85,False
147,Dratini,Dragon,,300,41,59,43,58,42,False
145,Zapdos,Electric,Flying,580,87,94,82,113,91,True
72,Tentacool,Water,Poison,335,41,40,33,76,68,False
126,Magmar,Fire,,495,61,90,61,94,94,False
94,Gengar,Ghost,Poison,500,56,69,59,101,114,False
13,Weedle,Bug,Poison,195,48,42,29,18,41,False
148,Dragonair,Dragon,,420,56,81,71,68,76,False
9,Blastoise,Water,,530,84,84,107,88,78,False
107,Hitmonchan,Fighting,,455,49,109,79,74,71,False
58,Growlithe,Fire,,350,61,63,45,63,55,False
16,Pidgey,Normal,Flying,251,48,41,32,36,59,False
19,Rattata,Normal,,253,26,62,33,30,72,False
79,Slowpoke,Water,Psychic,315,102,71,63,34,10,False
132,Ditto,Normal,,288,41,49,46,48,57,False
6,Charizard,Fire,Flying,534,79,74,80,102,96,False
22,Fearow,Normal,Flying,442,55,92,63,64,103,False
148,Dragonair,Dragon,,420,58,93,59,66,79,False
138,Omanyte,Rock,Water,355,29,45,110,66,38,False
68,Machamp,Fighting,,505,96,126,85,72,53,False
141,Kabutops,Rock,Water,495,55,115,102,74,76,False
140,Kabuto,Rock,Water,355,27,79,92,49,59,False
112,Rhydon,Ground,Rock,485,110,125,126,42,40,False
106,Hitmonlee,Fighting,,455,41,125,63,68,89,False
138,Omanyte,Rock,Water,355,34,40,103,76,25,False
25,Pikachu,Electric,,320,38,58,44,42,95,False
86,Seel,Water,,325,67,48,58,52,48,False
10,Caterpie,Bug,,195,46,38,30,18,46,False
66,Machop,Fighting,,305,77,73,47,38,32,False
145,Zapdos,Electric,Flying,580,78,80,86,116,105,True
82,Magneton,Electric,,465,43,55,96,100,72,False
133,Eevee,Normal,,325,54,58,48,52,62,False
6,Charizard,Fire,Flying,534,88,80,83,93,97,False
43,Oddish,Grass,Poison,320,38,45,58,75,29,False
136,Flareon,Fire,,525,72,131,52,100,69,False
121,Starmie,Water,Psychic,520,64,79,72,94,116,False
23,Ekans,Poison,,288,30,62,43,50,52,False
16,Pidgey,Normal,Flying,251,37,55,48,30,50,False
82,Magneton,Electric,,465,47,60,93,94,76,False
80,Slowbro,Water,Psychic,490,101,68,113,88,32,False
48,Venonat,Bug,Poison,305,55,60,42,48,52,False
51,Dugtrio,Ground,,405,35,80,50,56,127,False
93,Haunter,Ghost,Poison,405,47,54,40,83,98,False
106,Hitmonlee,Fighting,,455,49,120,56,78,75,False
143,Snorlax,Normal,,540,163,111,66,86,27,False
135,Jolteon,Electric,,525,68,64,53,108,123,False
46,Paras,Bug,Grass,285,43,63,51,50,28,False
106,Hitmonlee,Fighting,,455,52,111,55,74,89,False
147,Dratini,Dragon,,300,36,61,46,54,49,False
143,Snorlax,Normal,,540,161,102,57,90,39,False
12,Butterfree,Bug,Flying,395,59,53,47,82,73,False
22,Fearow,Normal,Flying,442,57,86,71,68,92,False
87,Dewgong,Water,Ice,475,85,75,82,82,68,False
78,Rapidash,Fire,,500,76,100,67,78,100,False
97,Hypno,Psychic,,483,90,69,67,92,74,False
126,Magmar,Fire,,495,62,92,60,92,98,False
60,Poliwag,Water,,300,46,40,43,36,98,False
56,Mankey,Fighting,,305,39,84,40,38,65,False
34,Nidoking,Poison,Ground,505,72,112,85,74,88,False
37,Vulpix,Fire,,299,42,36,34,58,70,False
73,Tentacruel,Water,Poison,515,87,70,70,94,101,False
143,Snorlax,Normal,,540,164,111,61,88,27,False
102,Exeggcute,Grass,Psychic,325,58,38,85,49,46,False
11,Metapod,Bug,,205,42,27,62,24,25,False
87,Dewgong,Water,Ice,475,88,72,82,83,67,False
38,Ninetales,Fire,,505,70,79,82,84,107,False
24,Arbok,Poison,,438,58,84,74,73,76,False
118,Goldeen,Water,,320,51,70,64,38,58,False
10,Caterpie,Bug,,195,55,21,39,17,46,False
100,Voltorb,Electric,,330,41,31,60,50,99,False
7,Squirtle,Water,,314,48,51,66,56,36,False
16,Pidgey,Normal,Flying,251,39,46,30,41,54,False
63,Abra,Psychic,,310,17,27,19,77,93,False
40,Wigglytuff,Normal,,435,145,76,40,67,40,False
147,Dratini,Dragon,,300,41,55,52,48,56,False
4,Charmander,Fire,,309,43,43,49,58,59,False
10,Caterpie,Bug,,195,43,36,30,19,48,False
42,Golbat,Poison,Flying,455,75,75,66,76,87,False
6,Charizard,Fire,Flying,534,83,78,87,94,98,False
48,Venonat,Bug,Poison,305,59,55,58,43,47,False
122,Mr. Mime,Psychic,,460,36,27,71,113,100,False
136,Flareon,Fire,,525,62,137,54,107,58,False
64,Kadabra,Psychic,,400,42,42,22,98,97,False
31,Nidoqueen,Poison,Ground,505,96,88,82,84,70,False
136,Flareon,Fire,,525,75,126,53,107,57,False
74,Geodude,Rock,Ground,300,41,70,95,36,22,False
58,Growlithe,Fire,,350,64,66,38,60,63,False
9,Blastoise,Water,,530,80,72,104,99,76,False
16,Pidgey,Normal,Flying,251,33,39,47,34,63,False
77,Ponyta,Fire,,410,47,79,58,70,85,False
113,Chansey,Normal,,450,255,9,4,66,49,False
2,Ivysaur,Grass,Poison,405,59,58,66,80,63,False
38,Ninetales,Fire,,505,74,76,69,90,105,False
131,Lapras,Water,Ice,535,126,83,89,84,69,False
116,Horsea,Water,,295,35,47,67,47,52,False
59,Arcanine,Fire,,555,100,112,71,84,104,False
41,Zubat,Poison,Flying,245,33,47,37,34,60,False
16,Pidgey,Normal,Flying,251,32,53,42,34,56,False
47,Parasect,Bug,Grass,405,58,101,79,64,39,False
55,Golduck,Water,,500,76,77,88,88,82,False
50,Diglett,Ground,,265,15,63,18,38,92,False
144,Articuno,Ice,Flying,580,87,77,103,112,88,True
67,Machoke,Fighting,,405,82,91,69,56,51,False
40,Wigglytuff,Normal,,435,137,70,51,66,45,False
90,Shellder,Water,,305,36,60,105,38,27,False
72,Tentacool,Water,Poison,335,49,39,40,68,70,False
3,Venusaur,Grass,Poison,525,78,79,88,100,80,False
85,Dodrio,Normal,Flying,460,55,116,64,58,110,False
116,Horsea,Water,,295,18,44,74,52,54,False
37,Vulpix,Fire,,299,42,47,36,52,70,False
36,Clefable,Normal,,483,92,66,71,94,67,False
2,Ivysaur,Grass,Poison,405,66,56,68,78,58,False
112,Rhydon,Ground,Rock,485,98,126,128,49,35,False
14,Kakuna,Bug,Poison,205,52,17,46,26,39,False
65,Alakazam,Psychic,,500,48,55,52,115,115,False
107,Hitmonchan,Fighting,,455,52,105,79,70,78,False
95,Onix,Rock,Ground,385,31,42,156,38,81,False
31,Nidoqueen,Poison,Ground,505,89,91,83,80,83,False
33,Nidorino,Poison,,365,57,62,65,54,73,False
68,Machamp,Fighting,,505,85,123,86,75,61,False
77,Ponyta,Fire,,410,52,85,62,65,81,False
135,Jolteon,Electric,,525,69,63,57,104,127,False
49,Venomoth,Bug,Poison,450,70,69,64,78,92,False
91,Cloyster,Water,Ice,525,55,105,176,59,71,False
44,Gloom,Grass,Poison,395,56,61,76,82,37,False
21,Spearow,Normal,Flying,262,40,61,29,31,70,False
6,Charizard,Fire,Flying,534,88,77,72,96,106,False
87,Dewgong,Water,Ice,475,81,80,76,85,68,False
37,Vulpix,Fire,,299,30,36,41,59,74,False
66,Machop,Fighting,,305,63,82,54,38,29,False
