#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
77,Ponyta,Fire,,410,50,92,52,55,75,86,1,False
9,Blastoise,Water,,530,84,83,99,76,107,81,1,False
151,Mew,Psychic,,600,111,101,99,103,91,95,1,False
80,Slowbro,Water,Psychic,490,86,76,110,98,88,32,1,False
151,Mew,Psychic,,600,95,101,104,96,102,102,1,False
130,Gyarados,Water,Flying,540,94,120,82,58,112,74,1,False
124,Jynx,Ice,Psychic,455,63,59,33,119,91,90,1,False
2,Ivysaur,Grass,Poison,405,60,59,61,81,74,70,1,False
33,Nidorino,Poison,,365,59,69,62,60,55,60,1,False
52,Meowth,Normal,,290,44,35,28,42,45,96,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,111,122,103,62,90,102,1,False
17,Pidgeotto,Normal,Flying,349,67,54,52,47,57,72,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,75,85,79,131,78,131,1,False
75,Graveler,Rock,Ground,390,63,90,111,44,52,30,1,False
65,Alakazam,Psychic,,500,62,43,44,138,101,112,1,False
21,Spearow,Normal,Flying,262,33,61,30,33,25,80,1,False
8,Wartortle,Water,,405,59,56,77,75,85,53,1,False
146,Moltres,Fire,Flying,580,89,97,96,130,89,79,1,True
18,Pidgeot,Normal,Flying,479,89,86,79,60,62,103,1,False
15,Beedrill,Bug,Poison,395,71,97,38,43,80,66,1,False
140,Kabuto,Rock,Water,355,23,87,100,55,45,45,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,82,95,119,129,115,85,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,85,97,83,165,105,99,1,False
49,Venomoth,Bug,Poison,450,71,68,51,100,74,86,1,False
136,Flareon,Fire,,525,64,122,67,99,113,60,1,False
1,Bulbasaur,Grass,Poison,318,52,58,52,48,49,59,1,False
46,Paras,Bug,Grass,285,27,76,69,40,47,26,1,False
35,Clefairy,Fairy,,323,78,43,40,52,63,47,1,False
27,Sandshrew,Ground,,300,49,73,84,17,25,52,1,False
96,Drowzee,Psychic,,328,54,44,43,38,103,46,1,False
67,Machoke,Fighting,,405,78,109,62,58,49,49,1,False
133,Eevee,Normal,,325,59,51,40,52,74,49,1,False
31,Nidoqueen,Poison,Ground,505,87,98,80,71,90,79,1,False
33,Nidorino,Poison,,365,57,72,63,59,46,68,1,False
136,Flareon,Fire,,525,61,133,65,93,105,68,1,False
15,Beedrill,Bug,Poison,395,60,87,38,39,92,79,1,False
60,Poliwag,Water,,300,46,45,36,48,32,93,1,False
20,Raticate,Normal,,413,60,74,58,57,68,96,1,False
65,AlakazamMega Alakazam,Psychic,,590,53,52,67,166,97,155,1,False
9,BlastoiseMega Blastoise,Water,,630,84,98,117,142,112,77,1,False
50,Diglett,Ground,,265,17,57,32,33,37,89,1,False
63,Abra,Psychic,,310,17,21,16,109,59,88,1,False
118,Goldeen,Water,,320,35,60,61,35,59,70,1,False
130,GyaradosMega Gyarados,Water,Dark,640,99,157,98,60,136,90,1,False
4,Charmander,Fire,,309,44,51,45,59,47,63,1,False
30,Nidorina,Poison,,365,78,63,56,56,48,64,1,False
144,Articuno,Ice,Flying,580,85,80,107,105,123,80,1,True
4,Charmander,Fire,,309,41,49,52,54,45,68,1,False
149,Dragonite,Dragon,Flying,600,87,134,95,97,104,83,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,82,130,94,66,103,140,1,False
89,Muk,Poison,,500,107,104,68,59,107,55,1,False
148,Dragonair,Dragon,,420,57,80,63,80,69,71,1,False
26,Raichu,Electric,,485,52,100,55,89,78,111,1,False
139,Omastar,Rock,Water,495,77,57,125,119,66,51,1,False
104,Cubone,Ground,,320,47,48,101,37,44,43,1,False
90,Shellder,Water,,305,35,54,99,45,24,48,1,False
141,Kabutops,Rock,Water,495,47,118,106,72,69,83,1,False
114,Tangela,Grass,,435,56,64,117,102,36,60,1,False
80,Slowbro,Water,Psychic,490,109,67,122,94,72,26,1,False
114,Tangela,Grass,,435,68,58,117,104,30,58,1,False
64,Kadabra,Psychic,,400,41,39,25,118,76,101,1,False
65,Alakazam,Psychic,,500,53,53,50,137,99,108,1,False
39,Jigglypuff,Normal,Fairy,270,124,37,29,38,17,25,1,False
11,Metapod,Bug,,205,59,11,51,34,24,26,1,False
148,Dragonair,Dragon,,420,65,80,61,64,72,78,1,False
90,Shellder,Water,,305,37,71,100,47,18,32,1,False
74,Geodude,Rock,Ground,300,34,77,103,35,37,14,1,False
86,Seel,Water,,325,58,47,53,38,81,48,1,False
98,Krabby,Water,,325,35,110,83,19,31,47,1,False
130,Gyarados,Water,Flying,540,104,115,85,56,108,72,1,False
81,Magnemite,Electric,Steel,325,20,34,62,103,51,55,1,False
63,Abra,Psychic,,310,19,21,25,102,53,90,1,False
27,Sandshrew,Ground,,300,59,73,75,20,38,35,1,False
51,Dugtrio,Ground,,405,35,74,60,42,76,118,1,False
86,Seel,Water,,325,66,46,58,45,69,41,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,130,97,68,93,147,1,False
32,Nidoran♂,Poison,,273,45,50,42,41,49,46,1,False
137,Porygon,Normal,,395,64,61,72,83,79,36,1,False
97,Hypno,Psychic,,483,93,77,64,76,111,62,1,False
93,Haunter,Ghost,Poison,405,38,57,48,121,50,91,1,False
121,Starmie,Water,Psychic,520,64,67,80,101,87,121,1,False
9,BlastoiseMega Blastoise,Water,,630,85,106,120,129,112,78,1,False
56,Mankey,Fighting,,305,46,69,40,39,48,63,1,False
103,Exeggutor,Grass,Psychic,520,105,106,82,122,55,50,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,74,90,90,126,75,124,1,False
5,Charmeleon,Fire,,405,59,59,67,88,62,70,1,False
13,Weedle,Bug,Poison,195,42,25,39,19,17,53,1,False
34,Nidoking,Poison,Ground,505,89,102,75,82,73,84,1,False
13,Weedle,Bug,Poison,195,29,36,35,27,11,57,1,False
121,Starmie,Water,Psychic,520,64,71,89,96,88,112,1,False
106,Hitmonlee,Fighting,,455,47,123,52,38,102,93,1,False
54,Psyduck,Water,,320,60,59,47,62,40,52,1,False
134,Vaporeon,Water,,525,126,57,69,117,93,63,1,False
110,Weezing,Poison,,490,60,84,127,92,78,49,1,False
38,Ninetales,Fire,,505,72,82,73,83,94,101,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,87,104,117,126,118,73,1,False
61,Poliwhirl,Water,,385,65,58,64,58,52,88,1,False
58,Growlithe,Fire,,350,62,81,37,66,50,54,1,False
3,Venusaur,Grass,Poison,525,83,92,84,90,97,79,1,False
101,Electrode,Electric,,480,59,54,79,74,71,143,1,False
45,Vileplume,Grass,Poison,490,70,80,86,117,87,50,1,False
99,Kingler,Water,,475,63,134,106,44,45,83,1,False
151,Mew,Psychic,,600,102,105,92,101,107,93,1,False
7,Squirtle,Water,,314,50,48,53,47,65,51,1,False
137,Porygon,Normal,,395,66,56,73,92,76,32,1,False
91,Cloyster,Water,Ice,525,44,105,174,77,47,78,1,False
17,Pidgeotto,Normal,Flying,349,62,60,53,52,47,75,1,False
124,Jynx,Ice,Psychic,455,78,54,30,109,92,92,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,79,136,103,133,83,100,1,False
147,Dratini,Dragon,,300,48,59,40,43,52,58,1,False
24,Arbok,Poison,,438,53,90,69,70,74,82,1,False
9,BlastoiseMega Blastoise,Water,,630,71,109,110,142,115,83,1,False
79,Slowpoke,Water,Psychic,315,81,72,72,39,45,6,1,False
124,Jynx,Ice,Psychic,455,53,57,34,115,94,102,1,False
150,Mewtwo,Psychic,,680,102,112,100,164,81,121,1,True
62,Poliwrath,Water,Fighting,510,87,89,103,77,96,58,1,False
85,Dodrio,Normal,Flying,460,65,102,75,63,60,95,1,False
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,107,190,98,158,92,135,1,True
151,Mew,Psychic,,600,98,92,97,100,105,108,1,False
123,Scyther,Bug,Flying,500,62,113,82,56,87,100,1,False
18,Pidgeot,Normal,Flying,479,89,87,71,65,64,103,1,False
56,Mankey,Fighting,,305,47,76,31,41,41,69,1,False
131,Lapras,Water,Ice,535,135,88,71,92,95,54,1,False
55,Golduck,Water,,500,73,85,87,97,85,73,1,False
137,Porygon,Normal,,395,75,52,75,88,68,37,1,False
143,Snorlax,Normal,,540,151,115,67,55,118,34,1,False
141,Kabutops,Rock,Water,495,63,111,104,56,77,84,1,False
62,Poliwrath,Water,Fighting,510,98,90,87,74,83,78,1,False
101,Electrode,Electric,,480,62,52,74,78,83,131,1,False
132,Ditto,Normal,,288,40,55,49,55,46,43,1,False
49,Venomoth,Bug,Poison,450,79,65,57,82,68,99,1,False
56,Mankey,Fighting,,305,34,84,36,37,41,73,1,False
86,Seel,Water,,325,63,49,45,56,65,47,1,False
89,Muk,Poison,,500,97,105,80,56,110,52,1,False
114,Tangela,Grass,,435,61,47,125,93,37,72,1,False
134,Vaporeon,Water,,525,129,62,66,106,91,71,1,False
45,Vileplume,Grass,Poison,490,74,90,77,101,98,50,1,False
133,Eevee,Normal,,325,51,49,50,49,74,52,1,False
105,Marowak,Ground,,425,70,75,102,47,83,48,1,False
34,Nidoking,Poison,Ground,505,78,104,73,87,68,95,1,False
11,Metapod,Bug,,205,58,17,46,29,20,35,1,False
65,AlakazamMega Alakazam,Psychic,,590,55,48,63,176,103,145,1,False
149,Dragonite,Dragon,Flying,600,93,142,99,93,99,74,1,False
21,Spearow,Normal,Flying,262,30,53,36,32,32,79,1,False
112,Rhydon,Ground,Rock,485,102,138,113,41,52,39,1,False
7,Squirtle,Water,,314,49,53,57,45,62,48,1,False
7,Squirtle,Water,,314,53,52,71,45,58,35,1,False
114,Tangela,Grass,,435,72,52,125,103,30,53,1,False
11,Metapod,Bug,,205,55,21,54,21,24,30,1,False
71,Victreebel,Grass,Poison,490,85,111,68,100,60,66,1,False
2,Ivysaur,Grass,Poison,405,54,59,58,78,87,69,1,False
79,Slowpoke,Water,Psychic,315,89,62,67,45,44,8,1,False
121,Starmie,Water,Psychic,520,62,77,93,100,78,110,1,False
87,Dewgong,Water,Ice,475,83,64,90,63,101,74,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,73,102,83,161,111,104,1,False
151,Mew,Psychic,,600,98,99,99,103,103,98,1,False
6,Charizard,Fire,Flying,534,75,84,87,108,86,94,1,False
74,Geodude,Rock,Ground,300,29,75,107,31,36,22,1,False
112,Rhydon,Ground,Rock,485,108,131,118,49,47,32,1,False
134,Vaporeon,Water,,525,127,75,52,112,93,66,1,False
144,Articuno,Ice,Flying,580,83,83,95,91,133,95,1,True
28,Sandslash,Ground,,450,76,92,112,50,50,70,1,False
47,Parasect,Bug,Grass,405,58,99,89,57,69,33,1,False
69,Bellsprout,Grass,Poison,300,56,69,40,67,25,43,1,False
104,Cubone,Ground,,320,57,57,104,31,43,28,1,False
30,Nidorina,Poison,,365,78,65,60,55,49,58,1,False
111,Rhyhorn,Ground,Rock,345,87,87,99,27,26,19,1,False
127,Pinsir,Bug,,500,63,113,100,64,75,85,1,False
113,Chansey,Normal,,450,255,-1,5,42,107,42,1,False
130,GyaradosMega Gyarados,Water,Dark,640,93,158,108,70,133,78,1,False
127,Pinsir,Bug,,500,66,123,106,45,65,95,1,False
123,Scyther,Bug,Flying,500,64,107,79,65,74,111,1,False
9,Blastoise,Water,,530,83,85,95,82,99,86,1,False
117,Seadra,Water,,440,52,69,102,98,38,81,1,False
76,Golem,Rock,Ground,495,78,113,133,61,60,50,1,False
40,Wigglytuff,Normal,Fairy,435,149,72,46,87,44,37,1,False
49,Venomoth,Bug,Poison,450,67,63,52,86,85,97,1,False
122,Mr. Mime,Psychic,Fairy,460,35,46,54,101,125,99,1,False
111,Rhyhorn,Ground,Rock,345,85,85,105,20,30,20,1,False
28,Sandslash,Ground,,450,75,92,119,53,54,57,1,False
6,Charizard,Fire,Flying,534,80,82,82,118,82,90,1,False
76,Golem,Rock,Ground,495,88,118,132,54,53,50,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,84,135,84,66,90,156,1,False
13,Weedle,Bug,Poison,195,52,28,36,17,16,46,1,False
62,Poliwrath,Water,Fighting,510,97,90,101,62,100,60,1,False
89,Muk,Poison,,500,110,109,80,66,91,44,1,False
111,Rhyhorn,Ground,Rock,345,77,76,93,40,37,22,1,False
12,Butterfree,Bug,Flying,395,62,52,53,89,76,63,1,False
119,Seaking,Water,,450,85,94,68,53,81,69,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,75,100,117,128,129,76,1,False
73,Tentacruel,Water,Poison,515,84,61,60,89,129,92,1,False
72,Tentacool,Water,Poison,335,45,34,30,58,98,70,1,False
131,Lapras,Water,Ice,535,122,95,73,90,91,64,1,False
1,Bulbasaur,Grass,Poison,318,55,45,59,47,55,57,1,False
14,Kakuna,Bug,Poison,205,54,17,49,35,21,29,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,73,135,107,122,90,107,1,False
41,Zubat,Poison,Flying,245,37,50,33,33,43,49,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,89,75,80,131,81,123,1,False
86,Seel,Water,,325,67,40,54,47,62,55,1,False
99,Kingler,Water,,475,46,125,130,50,45,79,1,False
56,Mankey,Fighting,,305,33,71,37,37,49,78,1,False
78,Rapidash,Fire,,500,62,99,63,77,89,110,1,False
33,Nidorino,Poison,,365,57,80,56,61,48,63,1,False
99,Kingler,Water,,475,52,126,115,44,48,90,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,99,85,185,126,73,22,1,False
25,Pikachu,Electric,,320,31,55,47,51,51,85,1,False
3,Venusaur,Grass,Poison,525,90,82,75,109,93,76,1,False
116,Horsea,Water,,295,36,43,72,71,29,44,1,False
27,Sandshrew,Ground,,300,44,69,97,18,35,37,1,False
44,Gloom,Grass,Poison,395,59,75,62,91,75,33,1,False
86,Seel,Water,,325,73,49,46,42,65,50,1,False
85,Dodrio,Normal,Flying,460,68,100,72,58,59,103,1,False
130,Gyarados,Water,Flying,540,96,134,79,59,98,74,1,False
35,Clefairy,Fairy,,323,67,45,45,68,62,36,1,False
9,Blastoise,Water,,530,67,85,102,85,111,80,1,False
140,Kabuto,Rock,Water,355,37,76,81,57,37,67,1,False
11,Metapod,Bug,,205,52,18,59,25,28,23,1,False
134,Vaporeon,Water,,525,136,70,53,108,97,61,1,False
112,Rhydon,Ground,Rock,485,100,124,117,50,50,44,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,87,121,110,135,88,93,1,False
55,Golduck,Water,,500,90,82,76,92,78,82,1,False
10,Caterpie,Bug,,195,35,34,31,15,27,53,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,111,119,106,56,96,102,1,False
133,Eevee,Normal,,325,48,52,44,48,71,62,1,False
75,Graveler,Rock,Ground,390,46,85,118,48,54,39,1,False
121,Starmie,Water,Psychic,520,57,81,93,94,84,111,1,False
94,Gengar,Ghost,Poison,500,60,63,64,136,66,111,1,False
23,Ekans,Poison,,288,38,53,48,45,54,50,1,False
13,Weedle,Bug,Poison,195,37,37,26,20,21,54,1,False
81,Magnemite,Electric,Steel,325,33,38,79,82,46,47,1,False
25,Pikachu,Electric,,320,38,56,40,41,49,96,1,False
138,Omanyte,Rock,Water,355,26,42,96,98,65,28,1,False
53,Persian,Normal,,440,54,73,53,75,67,118,1,False
89,Muk,Poison,,500,112,111,67,55,102,53,1,False
105,Marowak,Ground,,425,60,80,102,55,80,48,1,False
103,Exeggutor,Grass,Psychic,520,104,85,94,132,60,45,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,72,104,78,161,121,98,1,False
36,Clefable,Fairy,,483,98,77,63,98,94,53,1,False
118,Goldeen,Water,,320,35,73,65,31,55,61,1,False
115,Kangaskhan,Normal,,490,108,96,72,33,80,101,1,False
17,Pidgeotto,Normal,Flying,349,54,70,54,51,45,75,1,False
145,Zapdos,Electric,Flying,580,86,105,81,118,89,101,1,True
38,Ninetales,Fire,,505,68,71,78,78,105,105,1,False
20,Raticate,Normal,,413,63,73,50,52,74,101,1,False
48,Venonat,Bug,Poison,305,67,57,46,43,56,36,1,False
17,Pidgeotto,Normal,Flying,349,65,55,52,57,55,65,1,False
5,Charmeleon,Fire,,405,54,67,63,77,59,85,1,False
44,Gloom,Grass,Poison,395,57,65,70,94,70,39,1,False
74,Geodude,Rock,Ground,300,45,86,93,20,32,24,1,False
8,Wartortle,Water,,405,63,64,73,72,81,52,1,False
16,Pidgey,Normal,Flying,251,43,33,39,34,40,62,1,False
18,Pidgeot,Normal,Flying,479,85,74,71,71,82,96,1,False
20,Raticate,Normal,,413,59,86,60,35,69,104,1,False
80,Slowbro,Water,Psychic,490,107,82,103,95,78,25,1,False
75,Graveler,Rock,Ground,390,60,97,124,41,38,30,1,False
74,Geodude,Rock,Ground,300,34,87,105,36,27,11,1,False
118,Goldeen,Water,,320,36,71,69,28,43,73,1,False
107,Hitmonchan,Fighting,,455,51,106,76,28,115,79,1,False
17,Pidgeotto,Normal,Flying,349,58,63,53,57,54,64,1,False
125,Electabuzz,Electric,,490,63,87,65,95,83,97,1,False
66,Machop,Fighting,,305,74,75,54,26,37,39,1,False
32,Nidoran♂,Poison,,273,42,61,34,43,44,49,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,89,102,116,120,125,73,1,False
144,Articuno,Ice,Flying,580,89,92,102,95,119,83,1,True
8,Wartortle,Water,,405,60,60,78,62,82,63,1,False
69,Bellsprout,Grass,Poison,300,52,72,34,67,40,35,1,False
98,Krabby,Water,,325,35,96,80,23,35,56,1,False
75,Graveler,Rock,Ground,390,53,101,110,47,52,27,1,False
82,Magneton,Electric,Steel,465,54,66,100,118,65,62,1,False
86,Seel,Water,,325,67,43,40,49,75,51,1,False
146,Moltres,Fire,Flying,580,95,95,94,115,82,99,1,True
9,Blastoise,Water,,530,87,80,100,79,102,82,1,False
35,Clefairy,Fairy,,323,60,43,51,70,63,36,1,False
35,Clefairy,Fairy,,323,76,49,43,62,63,30,1,False
100,Voltorb,Electric,,330,35,29,52,61,56,97,1,False
132,Ditto,Normal,,288,55,44,37,52,53,47,1,False
22,Fearow,Normal,Flying,442,56,99,61,61,70,95,1,False
138,Omanyte,Rock,Water,355,28,30,106,96,65,30,1,False
129,Magikarp,Water,,200,19,10,64,9,11,87,1,False
30,Nidorina,Poison,,365,62,66,77,50,61,49,1,False
129,Magikarp,Water,,200,16,9,48,17,19,91,1,False
136,Flareon,Fire,,525,67,134,59,82,118,65,1,False
39,Jigglypuff,Normal,Fairy,270,114,45,21,36,28,26,1,False
111,Rhyhorn,Ground,Rock,345,85,91,86,33,24,26,1,False
77,Ponyta,Fire,,410,50,87,57,67,58,91,1,False
134,Vaporeon,Water,,525,129,64,61,111,98,62,1,False
20,Raticate,Normal,,413,48,82,61,46,79,97,1,False
79,Slowpoke,Water,Psychic,315,86,70,55,39,43,22,1,False
130,Gyarados,Water,Flying,540,91,123,78,70,102,76,1,False
1,Bulbasaur,Grass,Poison,318,55,65,47,52,53,46,1,False
91,Cloyster,Water,Ice,525,45,98,183,80,42,77,1,False
115,Kangaskhan,Normal,,490,113,87,86,33,89,82,1,False
147,Dratini,Dragon,,300,43,58,42,48,54,55,1,False
87,Dewgong,Water,Ice,475,84,76,81,77,87,70,1,False
32,Nidoran♂,Poison,,273,44,59,30,43,45,52,1,False
114,Tangela,Grass,,435,69,52,115,108,36,55,1,False
57,Primeape,Fighting,,455,66,109,50,61,72,97,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,89,127,89,62,94,154,1,False
8,Wartortle,Water,,405,57,67,89,65,75,52,1,False
79,Slowpoke,Water,Psychic,315,91,67,59,39,47,12,1,False
14,Kakuna,Bug,Poison,205,48,28,52,19,23,35,1,False
10,Caterpie,Bug,,195,50,27,43,14,23,38,1,False
66,Machop,Fighting,,305,71,79,51,29,36,39,1,False
110,Weezing,Poison,,490,62,94,125,82,63,64,1,False
84,Doduo,Normal,Flying,310,45,78,36,38,41,72,1,False
53,Persian,Normal,,440,60,72,64,62,60,122,1,False
137,Porygon,Normal,,395,60,67,66,76,82,44,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,71,104,75,169,122,93,1,False
17,Pidgeotto,Normal,Flying,349,61,67,53,43,58,67,1,False
102,Exeggcute,Grass,Psychic,325,55,47,78,54,54,37,1,False
133,Eevee,Normal,,325,47,52,61,54,58,53,1,False
42,Golbat,Poison,Flying,455,76,84,61,74,69,91,1,False
91,Cloyster,Water,Ice,525,46,104,169,84,47,75,1,False
65,Alakazam,Psychic,,500,60,51,40,129,94,126,1,False
97,Hypno,Psychic,,483,91,68,63,83,109,69,1,False
2,Ivysaur,Grass,Poison,405,64,52,61,84,76,68,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,83,120,100,132,92,107,1,False
84,Doduo,Normal,Flying,310,34,84,42,44,35,71,1,False
35,Clefairy,Fairy,,323,74,39,47,67,66,30,1,False
86,Seel,Water,,325,73,42,48,39,77,46,1,False
19,Rattata,Normal,,253,29,57,32,31,42,62,1,False
53,Persian,Normal,,440,63,76,57,64,70,110,1,False
23,Ekans,Poison,,288,36,56,47,39,55,55,1,False
49,Venomoth,Bug,Poison,450,68,70,66,88,74,84,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,95,134,90,64,111,96,1,False
31,Nidoqueen,Poison,Ground,505,84,96,90,80,76,79,1,False
34,Nidoking,Poison,Ground,505,90,103,73,90,70,79,1,False
81,Magnemite,Electric,Steel,325,25,38,71,94,51,46,1,False
72,Tentacool,Water,Poison,335,32,42,32,59,103,67,1,False
150,Mewtwo,Psychic,,680,98,111,101,147,99,124,1,True
130,Gyarados,Water,Flying,540,99,118,87,58,103,75,1,False
28,Sandslash,Ground,,450,71,99,120,46,56,58,1,False
55,Golduck,Water,,500,87,74,64,96,89,90,1,False
56,Mankey,Fighting,,305,46,88,28,31,46,66,1,False
47,Parasect,Bug,Grass,405,58,109,75,54,78,31,1,False
109,Koffing,Poison,,340,42,62,102,61,42,31,1,False
150,Mewtwo,Psychic,,680,107,102,92,154,89,136,1,True
7,Squirtle,Water,,314,42,55,59,58,59,41,1,False
96,Drowzee,Psychic,,328,62,41,49,41,90,45,1,False
66,Machop,Fighting,,305,76,73,47,32,44,33,1,False
35,Clefairy,Fairy,,323,69,32,56,68,59,39,1,False
120,Staryu,Water,,340,30,44,61,63,57,85,1,False
147,Dratini,Dragon,,300,41,59,43,58,57,42,1,False
145,Zapdos,Electric,Flying,580,87,94,82,135,91,91,1,True
72,Tentacool,Water,Poison,335,41,40,33,51,102,68,1,False
126,Magmar,Fire,,495,61,90,61,98,91,94,1,False
94,Gengar,Ghost,Poison,500,56,69,59,136,66,114,1,False
13,Weedle,Bug,Poison,195,48,42,29,25,10,41,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,82,73,72,139,83,130,1,False
148,Dragonair,Dragon,,420,56,81,71,70,66,76,1,False
9,Blastoise,Water,,530,84,84,107,77,100,78,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,78,94,132,119,111,91,1,False
107,Hitmonchan,Fighting,,455,49,109,79,31,116,71,1,False
58,Growlithe,Fire,,350,61,63,45,69,57,55,1,False
16,Pidgey,Normal,Flying,251,48,41,32,27,44,59,1,False
19,Rattata,Normal,,253,26,62,33,32,28,72,1,False
79,Slowpoke,Water,Psychic,315,102,71,63,32,37,10,1,False
132,Ditto,Normal,,288,41,49,46,48,47,57,1,False
6,Charizard,Fire,Flying,534,79,74,80,116,89,96,1,False
22,Fearow,Normal,Flying,442,55,92,63,66,63,103,1,False
148,Dragonair,Dragon,,420,58,93,59,69,62,79,1,False
